,job_title,company_name,location,post_date,job_description,salary
168,Project Financial Analyst - WFO - Jakarta (ID: 697480),PT. PERSOLKELLY Recruitment Indonesia,"South Jakarta, Jakarta",Posted 12h ago,"Employment type: Contract-based
Expected join date: 1 April 2026
Project of Advisor for Intellectual Property Administration

Key Responsibilities
A. Financial Modeling & PPP Structuring
Build and refine project finance models (User Charge, Availability Payment, Hybrid PPP, LVC).
Support shadow financial modelling for priority projects (e.g., irrigation, water resources).

Conduct:
・IRR / XIRR
・NPV
・DSCR analysis
・Sensitivity & scenario analysis
・Assist in Value for Money (VfM) assessments.
・Develop standardized financial model templates for DGIF.

B. PPP Framework & Investment Analysis
Analyze risk allocation frameworks.
Evaluate bankability and investor perspective.
Support development of innovative schemes (e.g., success fee, blended finance).
Benchmark international PPP models (Shadow Toll, Hybrid PPP, etc.).

C. Capacity Building & Knowledge Transfer
Prepare simplified financial modeling training materials.
Support workshop simulations and exercises.
Help prepare case studies derived from water, highways, and irrigation projects.
Contribute to CP3P preparation materials if applicable.

D. Digital & Data Analytics Support
Support financial dashboard development (Excel / Power BI / Tableau).
Assist in introducing AI or automation into financial analysis processes.
Structure data for improved investment reporting.

E. Expected Deliverables
Standardized PPP financial model templates
VfM analysis reports
Scenario-based financial exercises
Training materials & workshop support slides
Investor perspective memos
Financial dashboards (optional but preferred)

Requirements:
1. Education
Bachelor’s or Master’s degree in Finance/ Economics/ Accounting/ Engineering with finance background/ Public Policy with quantitative focus
            
2. Technical Skills (Must-Have)
Advanced Excel financial modeling
Integrated 3-statement models
Project finance modeling
Debt sculpting
DSCR-based structuring
3. Strong understanding of:
Project finance
PPP frameworks
Concession models
Availability Payment vs User Charge structures
Financial feasibility analysis
4. Preferred Skills
Experience in:
Infrastructure finance
Multilateral-funded projects (ADB, World Bank, IFC)
Toll road or water PPP
Knowledge of Indonesian PPP regulations (KPBU)
Familiarity with:
FAST Standard modeling
BI tools (Power BI / Tableau)            
5. Personal Attributes
Highly structured and detail-oriented
Able to translate complex finance into simplified explanations
Comfortable working in government institutional environment
Strong communication skills (English required; Bahasa Indonesia preferred)
Able to work independently but align with structured work plans          
6. Ideal Profile
3–6 years experience in project finance or infrastructure advisory
Experience in transaction advisory (Big 4, MDB, infrastructure fund, or SOE)
Interested in public policy impact
Curious about digital transformation & AI
Wants exposure to international cooperation environment",Rp 18.000.000 – Rp 20.000.000 per month
169,Senior Data Analyst – P2P Lending,PT Anugerah Digital Indonesia,"South Jakarta, Jakarta",Posted 27d ago,"SOLUSIKU is a fast-growing P2P Lending platform committed to providing innovative and responsible financial solutions.
We are looking for an experienced Senior Data Analyst to join our growing fintech team and play a key role in strengthening data-driven decision making, credit risk analytics, and portfolio performance within our P2P Lending business.
Key Responsibilities
·Collect, process, and validate large-scale data from multiple sources while ensuring data integrity and accuracy
Develop, maintain, and optimize databases and data systems to improve accessibility and usability
Perform in-depth analysis of lending and borrower data to identify trends, patterns, and strategic insights
Apply statistical methods and advanced analytics to generate actionable business recommendations
Analyze borrower profiles to assess creditworthiness and predict loan default probabilities
Develop and enhance credit risk models and mitigation strategies to improve portfolio performance
Collaborate closely with Head Office MIS teams regarding database utilization and data governance
Prepare and deliver ad-hoc analytical reports required by management
 Qualifications
Bachelor’s degree or above in Data Science, Statistics, Finance, Economics, Computer Science, or a related field.
Proficiency in data analysis tools and languages such as SQL, Python, R, and Excel
Experience with data visualization tools like Tableau, Power BI, or similar platforms
Familiarity with database management systems and big data technologies (e.g., Hadoop, Spark).
Strong analytical and problem-solving skills, with attention to detail
Ability to interpret complex data sets and translate findings into actionable insights.
Excellent verbal and written communication skills, with the ability to present data clearly
Ability to collaborate effectively with cross-functional team
2-5 years experience in data analysis; preferably in the financial services or fintech industry
Prior experience in P2P lending or credit risk analysis is highly desirable",Not Available
170,Pricing Product Analyst,PT Trinusa Travelindo,Jakarta,Posted 30d+ ago,"It's fun to work in a company where people truly BELIEVE in what they're doing!
    Job Description
Manage pricing data and systems, ensuring accuracy and integrity of pricing information.
Coordinate with cross-functional teams including Price Strategy, Marketing, Pricing product to implement and maintain pricing processes and procedures.
Perform regular audits and analysis of pricing data to identify discrepancies and opportunities for improvement.
Assist in the development and documentation of pricing policies, guidelines, and SOPs (Standard Operating Procedures).
Support Pricing Strategy initiatives by providing data and insights on pricing trends and market dynamics.
Collaborate with Pricing Product team to troubleshoot pricing system issues and implement system enhancements or upgrades.
Provide training and support to internal stakeholders on pricing tools and processes.
Stay updated on industry best practices and emerging technologies in pricing operations.
  Requirements
Bachelor's degree in Business, Finance, Economics, or related field.
1 year of experience in pricing operations, revenue management, or related field.
Strong analytical and problem-solving skills with the ability to interpret and analyze complex data sets.
Excellent communication and interpersonal skills with the ability to collaborate effectively with cross-functional teams.
Detail-oriented with a high degree of accuracy in data entry and analysis.
Ability to prioritize and manage multiple tasks in a fast-paced environment.
  If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Not Available
171,Business Analyst Executive - Temporary 3 Months,Kanmo Group,Jakarta,Posted 15d ago,"Deskripsi Pekerjaan
Job Responsibilities
Update and maintain daily/weekly huddle reports in a timely and accurate manner.
Consolidate and prepare routine reports related to sales, stock, and other business needs.
Ensure data accuracy and consistency across multiple tracking files.
Perform basic data analysis using Excel to support demand planning activities.
Assist in monitoring key metrics and highlighting any significant changes or discrepancies.
Coordinate with relevant teams to collect and validate required data.
Support ad-hoc reporting and administrative tasks within the Demand Planning / Business Analyst function.
Requirements
Having background in Business, Industrial Engineering, Statistics, Mathematics, or a related field.
1–2 years of experience in Business Analyst, Demand Planning, Supply Chain, or similar roles.
Basic to intermediate Microsoft Excel skills (e.g., Pivot Table, VLOOKUP/XLOOKUP, simple formulas).
Strong attention to detail and good numerical accuracy.
Fast learner, proactive, and able to handle routine, repetitive tasks with consistency.
Good communication skills and ability to work with multiple stakeholders.
Able to work with tight timelines and maintain data confidentiality.",Not Available
172,Strategic Planning Officer,"Lembaga Pengkajian Pangan, Obat-Obatan dan Kosmetika MUI","Bogor, West Java",Posted 4d ago,"About the Role
LPPOM is seeking a Strategic Planning Officer who will play an important role in supporting the organisation’s strategic development, performance monitoring, and organisational improvement initiatives.
In this role, you will work closely with leadership and cross-functional teams to analyse strategic issues, evaluate industry trends, and develop insights that support effective decision-making. You will also contribute to improving organisational effectiveness through strategic analysis and business process improvement initiatives.
This position requires strong analytical thinking, strategic perspective, and the ability to translate complex information into actionable recommendations that support the organisation’s long-term growth and impact.
What You Will Do
Support the development and implementation of organisational strategic plans and key initiatives
Conduct strategic analysis on industry trends, market developments, and competitive landscape
Monitor the progress of strategic initiatives and organisational performance indicators
Prepare strategic reports, insights, and presentations from business or operations perspectives to support management discussions
Collaborate with cross-functional teams to ensure alignment between strategic priorities and operational execution
Analyse organisational performance data and provide recommendations to support management decision-making
Evaluate existing business processes and identify opportunities for process improvement and operational efficiency
Support business process redesign and Business Process Reengineering (BPR) initiatives to improve organisational effectiveness and service quality
Assist in evaluating the effectiveness of strategic plans and recommend adjustments when necessary
What We Are Looking For
Bachelor’s degree in Business, Economics, Management, Industrial Engineering, or related fields
Minimum 5 years of experience in strategic planning or corporate strategy
Strong analytical and problem-solving skills with the ability to interpret complex information
Ability to translate analysis into clear strategic insights and actionable recommendations
Excellent communication and presentation skills
Experience in business process improvement or Business Process Reengineering (BPR) is an advantage
Familiarity with KPI (balance scorecard or OKR) performance monitoring, strategic initiatives, or organisational improvement projects
Experience with Lean, Six Sigma, or process improvement frameworks is a plus
What We Offer
At LPPOM, we are committed to providing a collaborative and supportive work environment that enables professionals to grow and contribute meaningful impact. We offer competitive compensation, professional development opportunities, and a healthy work-life balance.
By joining LPPOM, you will have the opportunity to work on initiatives that support organisational transformation and contribute to strengthening the halal ecosystem in Indonesia and globally.
About Us
LPPOM is a leading Halal Inspection Body dedicated to ensuring the integrity and reliability of halal products. With more than three decades of experience, LPPOM plays a vital role in strengthening the halal ecosystem through inspection services, laboratory testing, training, and the development of halal assurance systems.
Through continuous innovation and collaboration with industry stakeholders, LPPOM contributes to building a more trustworthy and sustainable halal industry.",Not Available
173,Credit Scoring & Portfolio Manager,PT Sejahtera Sama Kita,Jakarta,Posted 26d ago,"What you will do

1. Credit Scoring &Modeling
Support HQ indevelopingandmaintainingcreditscoringmodelsusingSQL,Python,and machine learning techniques. Contribute to credit policy refinement through data-driven insights and model performance analysis.

2. Portfolio Monitoring & Reporting
Monitor portfolio performance, delinquency, and loss trends to identify early risk signals.
Deliver monthly portfolio reports and analytical insights for management and related business units.

3. Exploration of New Data Sources & Tools
Evaluate and test alternate local data sources or tools to enhance underwriting precision.
Lead proof-of-concept (POC) initiatives and assess their business and risk impact.

4. Regulatory & Partner Engagement
Represent the Credit Risk team in OJK audits and bank partner engagements.
Prepare reports and defend the company’s portfolio quality and underwriting standards to regulators and partners.

What you will need to have
1. Bachelor's or Master's in Finance, Statistics, Mathematics, Data Science, or related field.
2. 4-6 years experience in data science, credit scoring model development, portfolio analytics, or credit management. Ideally in fintech or retail banking. Exposure to OJK/regulatory audits is preferred.
3. Strong in SQL & Python skills, statistical modelling and ML knowledge.
4. Experience with portfolio reporting and impact analysis. Familiarity with OJK credit risk requirements.
5. Possess analytical and detail oriented. Strong communicator, able to present insights clearly.
6. Collaborative, and able to manage multiple priorities.",Not Available
174,Business System Analyst,PT Eigerindo Multi Produk Industri,"Bandung, West Java",Posted 22d ago,"About the Job :
As a Business System Analyst, your mission is to analyze, design, and implement business systems that improve efficiency, productivity, and overall business performance. You will be responsible for gathering and documenting business requirements, developing system specifications, and working closely with stakeholders to ensure that the implemented systems meet business needs. Your analytical skills and technical expertise will be crucial in driving the successful integration of technology solutions that support the company’s goals and objectives.
Requirements Gathering: Collaborate with stakeholders to gather and document detailed business requirements. Conduct interviews, workshops, and surveys to understand the needs and objectives of various departments.
System Analysis and Design: Analyze current business processes and systems to identify areas for improvement. Develop detailed system specifications and design solutions that align with business goals and technical capabilities.
Solution Implementation: Work closely with development teams to implement and integrate new systems and enhancements. Ensure that solutions are delivered on time, within budget, and meet quality standards.
Stakeholder Communication: Serve as a liaison between business units and technical teams. Facilitate clear and effective communication to ensure that all stakeholders are aligned and informed throughout the project lifecycle.
Testing and Validation: Develop and execute test plans to ensure that implemented systems meet business requirements and function correctly. Coordinate user acceptance testing (UAT) and gather feedback for further improvements.
Documentation: Create and maintain comprehensive documentation, including business requirements, system specifications, process flows, and user manuals. Ensure that documentation is up-to-date and accessible to relevant stakeholders.
Continuous Improvement: Identify opportunities for process improvement and recommend innovative solutions. Stay up-to-date with industry trends and best practices to enhance system capabilities and business performance.
Training and Support: Provide training and support to end-users to ensure successful adoption and utilization of new systems. Address any issues or challenges that arise and offer solutions to optimize system performance.

Technical Ability Requirement:
Understand and implement API integrations using XML and JSON for seamless data exchange.
Proficiently create technical documentation, including Entity Relationship Diagrams (ERD), Data Flow Diagrams (DFD), Unified Modeling Language (UML), and Mock-Ups.
Master messaging technologies, including Active Record and Rabbit MQ, to ensure effective data communication.
Utilize Jira Project Management Tools and/or Microsoft Teams for efficient project tracking and collaboration.
Demonstrate proficiency in version control using Git for effective code management.

What you will Need to Succeed :
Willing to Work From Office
Bachelor Degree in Computer Science or related
Having 3+ years experiences as a System Analyst
Knowledge and experience with a proven track record in ERP environments. Proficiency in Inventory and Warehouse Management System is an advantage.
Understands Database and SQL 
Familiar with SDLC, Waterfall and Agile Methodolgies
Familiar with versioning tools on Gitlab
Familiar with project / task management tools such as Jira
Knowledge and experience on retail inventory and online order management is an advantage",Not Available
175,Data Engineer,TUNTUN SEKURITAS INDONESIA,"North Jakarta, Jakarta",Posted 18d ago,"PT Tuntun Sekuritas Indonesia is looking for candidates to fill Data Engineer role. This position will be responsible for designing, building, and maintaining robust data infrastructure that enables reliable, scalable, and high-quality data access across the organization.

Main Responsibilities:  
Extract data using web scraping and API integrations. 
Develop and maintain scalable data crawlers for diverse sources. 
Developing and maintaining data pipelines for efficient data extraction, transformation, and loading (ETL) processes. 
Ensure data quality through validation processes. 
Document technical specifications and workflows 
Collaborating with data analysts, data architects, and software engineers to understand data requirements and deliver relevant data sets. 
Participating in data governance and compliance efforts to meet regulatory requirements. 
Collaborating with cross-functional teams to drive data-driven decision-making within the organization.   

Requirements: 
 More than 2 years of relevant experience or significant internship.
 Proficiency in programming languages like Python, Java, or SQL. 
Basic knowledge of data modeling and database management. 
Familiarity with ETL (Extract, Transform, Load) processes. 
Understanding of data warehousing concepts. 
Must have experience of extracting data from HTML, and web crawling.",Not Available
176,"Specialist - Costing, Capital & Planning",PT Amman Mineral Nusa Tenggara,"West Sumbawa, West Nusa Tenggara",Posted 25d ago,"We are looking for a detail-oriented and analytical Specialist - Costing, Capital & Planning to support capital project reporting and asset accounting activities.
Job Responsibilities
Assist in the month-end and year-end closing processes related to asset accounting activities, including:
Accruals, deferrals, and transaction reclassifications
Cost allocation
Construction in Progress (CIP) reporting
Asset transfers (capitalization)
Depreciation
Fixed asset reconciliation
Assist in the preparation of AFE documentation and the creation of Work Breakdown Structure (WBS) in SAP and SAC systems.
Collect data and prepare monthly project reports for Project Managers and AFE Owners.
Assist in coordinating and compiling inputs into the company budgeting system (SAC) during the annual budgeting process.
Assist in reporting capital project budgets, forecasts, and cash flow projections.
Prepare detailed actual-to-budget variance analysis by area and by project level.
Assist in asset appraisal activities conducted internally and by third parties.
Work closely with project cost control teams and Project Managers in each area to ensure accuracy in reporting project spending progress.
Assist in preparing capital project reports for internal and external purposes (RKAB, lenders, and other government institution reports).
Perform other duties and responsibilities related to capital expenditure reporting and analysis as required.

Education & Experience Requirements
Bachelor’s degree in Accounting or Management.
Minimum 4 years of relevant experience in a similar field, with at least hands-on experience specifically in Accounting, Cost Control, Capital Project Analyst. Preferably with working experience in construction and engineering companies.
Experience in financial operations and reporting; Experience in project evaluation or financial modelling desired
Professional certification such as Certified Public Accountant (CPA) or Chartered Accountant (CA) issued by IAPI is an advantage.
Strong and excellent in analytical skills, communication skills, strong organizational and ability to meet tight deadlines
Excellent communication skills in English both verbal and written; computer literate (excellent skills in Ms. Excel (intermediate to advanced level), AutoCAD, MS Project, SAP ERP system and other basic analysis or modeling tools).
Require working on a Site and willing to live at Site.    

Please be aware of certain fraud or misinformation regarding recruitment advertising on behalf of AMMAN. We never ask for any payment from applicants or candidates during the recruitment process. We never ask applicants or candidates to use specific travel agent services to arrange transportation and accommodation during the recruitment process.",Not Available
177,Operation Analyst (Fuel),PT Petrolindo Energi Perkasa,Jakarta,Posted 20d ago,"Tugas & Tanggung Jawab :
Memantau dan menganalisis data konsumsi bahan bakar / BBM secara berkala agar dapat melakukan kontrol pemakaian BBM dan operasional alat
Mengidentifikasi peluang perbaikan dan memberikan rekomendasi
Menganalisis kebutuhan fuel secara harian, mingguan, bulanan
Melakukan analisa dan membuat SOP / manual book untuk prosedur terkait BBM
Membuat laporan penggunaan bahan bakar secara akurat (dari mulai pengisian, proses bongkar, dan penyimpanan bahan bakar sampai dengan dokumentasi)
Implementasi best practice, reporting, dan operasional untuk semua site perusahaan

Requirement :
Pendidikan minimal S1 di bidang Teknik Industri atau jurusan terkait lainnya
Mempunyai komunikasi yang baik (internal/eksternal)
Pengalaman minimal 2 tahun di pertambangan / konstruksi
Menguasai Ms. Office (terutama excel dengan perumusan menjadi nilai lebih)
Mengerti Lean Six Sigma lebih diutamakan",Rp 6.000.000 – Rp 7.000.000 per month
178,Digital Performance Jr Specialist,PT Bussan Auto Finance (BAF),"South Jakarta, Jakarta",Posted 5d ago,"We are looking for a Digital Performance Jr Specialist to join our dynamic team. If you are passionate about digital marketing and performance monitoring, this is an exciting opportunity for you!
Key Responsibilities:
Carry out the budgeting allocation process for the digital campaign that will be run, continue to analyze the performance of the digital campaign results, including making process improvements to the digital campaign carried out, such as the flow of leads distribution and also following up with the network for its digital leads.
Monitoring and analyzing digital campaigns run both internally and externally and the achievement of Division KPIs
Create marketing program for internal team (incentive and reward scheme) or competition, also another innovative business program for customer (discount, purchase with purchase, or loyalty point reward)
Enhance customer experience and innovative marketing system development with specific strategy of follow up script, guidance, SLA, etc
Gather customer insight through survey, FGD, or interview method
Providing weekly and monthly reports on division achievements and assisting in the division's administration process
Requirements:
Bachelor of any major with detail oriented with strong analytical skills and minimum 2 years of experiences
Familiarity with digital marketing tools and campaign tracking
Good communication and organizational skills
Proficient in MS Office, MySQL, Google Data Studio, Tableau, and other data visualization and reporting tools
A sales target oriented person will be suitable for this role
Strong analytical and strategic thinking is a must",Not Available
179,Reporting & Analysis Specialist (Budgeting experienced),CINEPOLIS INDONESIA,"Karawaci, Banten",Posted 1d ago,"Main Function :
Support management by preparing accurate and timely management reports, assisting in budgeting, forecasting, and financial controls, and conducting financial analysis to support decision-making, performance tracking, and profitability.

Job Descriptions :
Prepare and analyze management financial reports by consolidating financial data from various systems and ensuring reports are accurate and delivered on time.
Review financial closing processes, account mappings, and reconciliations to ensure compliance with accounting standards and the accuracy of financial statements.
Analyze financial performance by identifying variances between actual results, budgets, and forecasts, and coordinating with relevant departments for clarification.
Manage the budgeting and forecasting process by collecting departmental inputs, reviewing proposals, and preparing reliable financial projections.
Monitor departmental expenses and financial performance to ensure alignment with approved budgets.
Prepare and present financial result to the board of management
Monitor CAPEX utilization by tracking spending against approved budgets and coordinating with relevant departments.
Develop and maintain dashboard reports to visualize key performance indicators (KPIs) and support management decision-making.


Requirements :
Degree in Finance, Accounting, or related field.
Advance in Excel, Power BI and Analysis Financial Statement.
Fluent in English and having experiences in reporting and data analytics (3 years).
Strong skills in data analysis, reporting, and presentation.
Having skills of analyst, retail, managing data, report.
Good in communication & interpersonal skills.
Ability to build relationships with all Department, Team and overseas colleague ",Not Available
180,Finance Analyst,PT BBN Airlines Indonesia,Jakarta,Posted 6d ago,"Job Description:
Conduct comprehensive financial analysis, offering valuable insights and conducting risk assessments to facilitate informed business decision-making.
Utilize business modeling techniques, budgeting, perform through market and competitive analyses to identify areas for enhancing busiq performance, and provide recommendations accordingly.
Utilize Power BI tools to create and execute reporting processes that align with the specific requirements of the business.
Enjoy the freedom and support to automate a wide range of reports and processes, thereby streamlining operations and increasing efficiency.
Establish and implement control processes that effectively reinforce internal controls, ensuring the integrity and reliability of financial operations.
Foster collaborations with colleagues from diverse teams, spanning finance, data and analytics, and actively contribute to the overall business development efforts.

Job Requirements:
Bachelor's degree in Finance, Accounting, Business Administration, or a related field
At least 3-5 years of international business work experience in audit, financial analysis, financial management, big4, or related functions
Sufficient understanding of principles of finance
Fluency and effective communication in English
Expert at using data analysis/visualization tool – Power BI and spreadsheet (Excel, google sheets, etc)
Able to perform at a high level of competency in a fast-paced, high-growth environment
Motivated, initiate, oversee, and able to complete tasks with minimal supervision
Critical thinking and problem-solving skills
Passion for driving process improvements and contributing to business growth",Not Available
181,Junior Systems Administrator - Semarang,Eco Concepts Australia Pty Ltd (Eco Outdoor),"Semarang, Central Java",Posted 13d ago,"We are looking for… 
Hopefully, you! We’re seeking a motivated and detail-oriented Junior Systems Administrator to join our Technology team in Semarang. The ideal candidate will be responsible for the day-to-day administration, maintenance, and improvement of critical business systems. Ensuring systems are reliable, efficient, and aligned with business needs. The Junior Systems Administrator working closely with Technology Team and External Technology Partner in Australia and local Indonesian Team.  
Junior Systems Administrator’s key responsibilities will include: 
Support daily administration of NetSuite and Salesforce; including user setup, access management, roles, permissions, basic configuration, provide basic training to drive effective system adoption.
Help maintain system documentation, standard operating procedures, and user guides.
Assist with system monitoring and system enhancements, data accuracy, and troubleshooting user issues, escalating when required.
Collaborate with business teams to understand requirements and translate them into system support tasks.
Assist with data imports, exports, validation, and cleanup activities.
Participate in testing activities for system changes, updates, and new features.
Supporting local team with IT issues as and when required.


Requirements

We need you to bring… 
Excellent English language skills, both written and verbal.
A minimum of 2 years working with Netsuite or Salesforce in an admin, support, or analyst capacity.
Experience working in a multi-system environment (e.g. CRM, ERP, Website, Middleware) and familiar with system integrations with the ability to monitor and escalate issues.
Netsuite or Salesforce Administrator certifications (or working towards) are highly desirable.
Familiarity in Agile and/or Kanban delivery processes preferred.
Strong attention to detail and a structured approach to data and system configuration with good problem-solving skill and excellent communication.
Eager to learn and grow in a systems role while continuously improving platforms and processes.
Please note that we require full permanent working rights for this position. 


Benefits

In return, we’ll give you… 
Perks, benefits and the space to grow. We offer a competitive salary, a comprehensive benefits package and plenty of opportunities for career growth and development. This includes: 
The opportunities you need to grow, develop and craft a career you’re proud of within the global Eco Outdoor business
Company-sponsored events and activities to connect with your colleagues 
The opportunity to give back via our internal Social Housing and Sustainability initiatives 
OK, you want to know what you’re getting yourself into? Let us introduce ourselves. 
Established in 2001 by expert minds from the landscape design and construction industries, Eco Outdoor is an Australian-founded global brand with showrooms in Australia, New Zealand and North America. We’re constantly experimenting, innovating and pushing creative boundaries, delivering the highest-quality natural stone and architectural surfaces (and outdoor furniture collections) to the international architecture market.  
We employ around 130 people across the globe, all of whom are dedicated to innovating, crafting and providing remarkable products and unbelievable hospitality to our clients and collaborators in the architecture and design space. We thrive on constant reinvention, regular development opportunities and a passionate culture grounded in connection and involvement.  
We’re a tribe of collaborators, critical thinkers, problem-solvers and challenge-embracers, and we nurture our incredibly talented people to put their best foot forward every day. That starts with our core values – Be a Game Changer, Only Accept Awesome, Play as a Team, Be Curious, Get Fired up – which are deeply ingrained in our culture. Basically, we’re all about fostering an innovative, industry-leading, collaborative, creative, passionate team to reach their fullest potential. That’s good for humans and good for business. 
If this sounds like your kind of gig… 
We’d love to hear from you. If you need more information before you apply, check out our website, LinkedIn or Instagram. If you have questions those sites don’t answer, flick us a line at people@ecooutdoor.com.au unless you’re a recruitment agency, in which case: no, thanks. We’ve got this one covered.   ",Not Available
182,Equity Research Analyst,TUNTUN SEKURITAS INDONESIA,"North Jakarta, Jakarta",Posted 26d ago,"PT Tuntun Sekuritas Indonesia is looking for candidates for Equity Research Analyst role. This position will be responsible for in-depth research on companies, enabling a comprehensive understanding of the Indonesian market.

Main Responsibilities:
Conduct in-depth research on all listed companies in a certain industries, analyze and judge the industry competition pattern, and predict the future long-term development of the industry.
Conduct on-site or telephone online surveys of listed companies, interview industry experts, senior industry funds and professional investors to build understanding of the industry and listed companies.
Craft meticulous research reports tailored for both retail and institutional investors within predetermined deadlines.
Conduct thorough company analysis through a combination of online sources and on-site surveys to extract unique insights.
Qualifications:
A graduate from a reputable university (Minimum GPA 3.2) with a major in finance, accounting, economics, or related field
Over 3 years of hands-on experience and a solid theoretical foundation in the value research and assessment of listed companies or 2 years of experience working as an auditor at a Big Four company.
Expertise in enterprise valuation methodologies, including a mastery of models such as DCF and DDM. Proficient in fundamental analysis of companies with a robust foundation in financial and economic analysis. Those who can use the Bloomberg system are preferred.
Profound knowledge of industry analysis methodologies, demonstrating the ability to rapidly assess industries, make informed judgments on growth and development, and articulate critical points in industry assessments.
Fluent in Chinese or English for effective communication, possessing polished presentation skills, and adept in utilizing tools such as Bloomberg and Microsoft Office.
Genuine interest in stock valuation and adept at reading annual reports.
Possession of a minimum HSK 6 certification is a plus.",Not Available
183,Fit Test Analyst - Footwear Industry,Deckers International HK Limited,Jakarta,Posted 21d ago,"Duties and Responsibilities
Work closely with the BU OM and Dev-Com Team Manager to monitor and arrange assigned product fit tests.
Evaluate results and provide technical insights and recommendations in the fit test reports.
Coordinate and support the Dev-Com team in resolving fitting issues to identify and eliminate potential product integrity risks through fit test evaluation and report follow-up, in accordance with each brand’s reporting process and RACI.
Conduct testers’ foot measurements and maintain records in PPT format for database tracking.
Recruit and maintain internal and external qualified and reliable fit testers. Train and develop fit testers and assist in building the fit tester community.
Complete fit test reports within two working days. Maintain all fit test reports in the shared folder for digital archiving and easy reference.
Update the daily fit test tracking report with statistical data.
Assist with last library management.
Qualifications
Minimum Diploma degree.
Minimum 5 years of experience in footwear development and product.
Strong technical knowledge of shoes and lasts.
Computer literate.
Good written and verbal communication skills in English.
Strong personality traits: proactive, honest, collaborative, and team-oriented.",Not Available
184,Finance and Business Performance Analyst,PT Valdo Sumber Daya Mandiri,Jakarta,Posted 20d ago,"We’re looking for a Finance & Business Performance Analyst to help management make better decisions through clear insights on P&L, Balance Sheet, and Cash Flow, and to support Business Development (BD) with project costing and pricing. You’ll also assist with audit and tax documentation to keep reporting clean and compliant.
⸻
What You’ll Do
1) Business Performance & Reporting
• Analyze monthly P&L, Balance Sheet, and Cash Flow and explain key movements
• Deliver simple, actionable insights (drivers, risks, recommended actions)
• Support dashboards/KPIs for profitability, costs, working capital, and cash
2) BD Support: Project Costing & Pricing
• Build costing/pricing models for proposals and renewals (people cost, overhead, margin)
• Run scenario analysis and evaluate profitability & cash impact (payment terms, funding gap)
• Track basic profitability by client/project and highlight improvement opportunities
3) Closing, Audit & Tax Support
• Support month-end closing checks and reconciliations (supporting schedules, tie-outs)
• Help prepare documentation and respond to audit/tax requests with organized evidence
4) AI-Enabled Analytics
• Use AI tools to speed up analysis, reporting drafts, and spreadsheet automation—with strict validation
⸻
What We’re Looking For
Must Have
• Strong Excel / Google Sheets (Pivot, XLOOKUP/INDEX-MATCH, SUMIFS, structured modeling)
• Solid understanding of financial statements and business drivers
• Strong accuracy, ownership, and ability to communicate insights clearly
Nice to Have
• Power Query / Power BI / Looker Studio / basic SQL
• Experience with project costing/pricing or commercial finance
• Comfortable using AI tools for analytics (and verifying outputs)
⸻
Why Join PT Valdo Inc
• Real exposure to FP&A + commercial pricing + cash discipline
• Work closely with BD and leaders to influence decisions
• Strong growth path toward FP&A / Commercial Finance / Finance Business Partner",Rp 10.000.000 – Rp 12.000.000 per month
185,Bancassurance Consultant (Palembang),MSIG Life Insurance Indonesia Tbk,"Palembang, South Sumatra",Posted 1d ago,"Deskripsi Pekerjaan :
Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan finansial nasabah.
Menciptakan hubungan yang produktif, bersinergi, dan efektif dengan seluruh pihak bank rekanan terkait
Memastikan seluruh proses bisnis berjalan sesuai dengan prosedur standar perusahaan
Memenuhi performa kerja yang sudah ditargetkan perusahaan
Kualifikasi:
Pendidikan minimal Strata I
Memiliki pengalaman minimal 1-2 tahun sebagai sales marketing dalam industri asuransi atau perbankan
Memiliki kepribadian yang baik
Memiliki motivasi kerja yang tinggi
Memiliki orientasi pada target dan berambisi untuk memenuhi target
Penempatan : Palembang",Not Available
186,Data Architect,PT Lawencon Internasional,"South Jakarta, Jakarta",Posted 11d ago,"Develop and define the enterprise data architecture blueprint.
Lead the design of data integration across systems and business domains.
Define architectural standards, design principles, and data management best practices.
Initiate and oversee the implementation of the data governance framework.
Design a scalable and reusable enterprise data model.
Direct and review the implementation pipeline by Data Engineers.
Evaluate the performance, scalability, and reliability of the data platform.
Serve as a subject matter expert (SME) and advisor to business and IT stakeholders.
Support the development of data utilization strategies to increase business value.

Requirements:
Minimum education: Bachelor's degree in Informatics Engineering/Information Systems/equivalent.
Minimum 3-5 years of experience in data/system architecture.
Experience as a lead/architect in enterprise-scale data platform implementations.
Mastery of:
Data modeling (conceptual, logical, physical)
Modern data architecture (lakehouse/warehouse)
Data integration (batch & streaming)
Understanding of:
Distributed systems
Data governance & compliance
Hybrid infrastructure
Strategic communication and presentation skills to management.

Core Competencies
Strategic & Enterprise Thinking
Architecture Design Leadership
Data Governance & Compliance Awareness
Decision Making
Stakeholder Management",Not Available
